,0
250,GUSH
251,FDHY
252,TFSA
253,PPGHU
254,PSMT
255,USLM
256,JHG
257,DMYQ.U
258,CNFRL
259,JDD
260,HJEN
261,AVDR
262,ROOF
263,SVVC
264,HCXZ
265,SPYV
266,FTSL
267,FSSI
268,VHAQ.W
269,BBD
270,CUBI$D
271,DOMO
272,BHAT
273,NFH.W
274,VCIF
275,ACAHW
276,CHAA.U
277,CRZN
278,NCA
279,KOLD
280,RXRAW
281,SLQD
282,EAOA
283,QLD
284,CELG.R
285,DMYI
286,FPE
287,BAOS
288,CRHC.U
289,FSNB.U
290,SDGA
291,ORC
292,GIGM
293,BLPH
294,SLY
295,BLFS
296,CHSCL
297,PSET
298,FXA
299,RYI
300,AFAQU
301,REAX
302,ROAD
303,VLO
304,BDEC
305,ANNX
306,TGA
307,AGTC
308,MGTA
309,TEKKU
310,DVYA
311,PSTV
312,OVLH
313,PAIC
314,KPTI
315,JYAC
316,IPOF.U
317,SPCB
318,DJAN
319,SXQG
320,IEUS
321,EHI
322,TASK
323,DHCA
324,VCIT
325,FOLD
326,CZA
327,MTEM
328,ABCL
329,UZA
330,SCR
331,PCQ
332,CUBI$F
333,IWX
334,NS$B
335,BDTX
336,GLAQU
337,BREZW
338,MCFT
339,UTME
340,IWO
341,PLTM
342,MCI
343,PCI
344,FTAG
345,KBWB
346,VELOW
347,VOYA
348,AUUD
349,GHLD
350,CYCN
351,NSP
352,ADPT
353,AURCW
354,IIAC.W
355,IBND
356,SGLBW
357,DIVZ
358,ADAG
359,RYAAY
360,HEWW
361,JIG
362,VEI
363,FUV
364,SCAQW
365,EVX
366,FLV
367,GUNR
368,LEV
369,TUGCU
370,WSR
371,FST.W
372,CMCSA
373,TZOO
374,SFBC
375,PSCI
376,CEMB
377,WFG
378,FENC
379,FMAC
380,PACE.W
381,PSA$C
382,OGE
383,FPAY
384,CLII
385,DMS
386,FMAC.W
387,HRMY
388,MNOV
389,CUENW
390,PRVB
391,SPFR
392,PIPP
393,MXL
394,KNX
395,IBMP
396,JNK
397,PDOT.W
398,KOS
399,DCRCU
400,GLT
401,HIX
402,PRO
403,LVTX
404,GBT
405,TCI
406,PLYA
407,DVY
408,RILYM
409,NTCO
410,EQOS
411,AEZS
412,KO
413,STN
414,IGHG
415,KBAL
416,LOAN
417,AEL$B
418,PEP
419,NSTC.W
420,FLIC
421,MSA
422,MDRR
423,BSA
424,ATR
425,RXN
426,TIPX
427,RSP
428,AEM
429,DBJA
430,JEPI
431,SPXV
432,SPFR.U
433,GRAY
434,GSAT
435,IBHF
436,INVZW
437,ATIP.W
438,CCV.U
439,EXK
440,TIXT
441,ZOM
442,UZE
443,PSCC
444,SLN
445,TLND
446,PVBC
447,AVTR$A
448,XBI
449,FLWS
450,MACA
451,DRW
452,VALU
453,EUSG
454,FLGB
455,PNTM
456,CALM
457,HYLN
458,GPI
459,STEP
460,C$J
461,FLXN
462,HOLUW
463,INFI
464,INPX
465,LCG
466,SEM
467,CLIM.W
468,DSACU
469,BERY
470,AAN
471,SWZ
472,BML$H
473,MRKR
474,IDBA
475,NVEC
476,AURCU
477,PMVC
478,LNG
479,LQD
480,PSA$L
481,FTV$A
482,PDBC
483,IOO
484,HUSA
485,AMED
486,REVG
487,BIF
488,BML$L
489,IGV
490,GSBC
491,RDY
492,FURY
493,DVD
494,GXG
495,OOMA
496,ACOR
497,DVOL
498,MPACU
499,AZBJ
500,CCS
501,CTXRW
502,KSCD
503,CHSCO
504,IGC
505,ATMR
506,SBI
507,STEM.W
508,EM
509,FTCH
510,CLEU
511,CNCR
512,ENPC.U
513,SLAMW
514,GTPAU
515,LND
516,AGBAW
517,AKBA
518,DRUA
519,VWE
520,AL$A
521,BGSF
522,OSUR
523,YDEC
524,NSTB
525,IWR
526,AUUDW
527,ALLO
528,SANA
529,DWSN
530,ATHM
531,RAMP
532,SHYL
533,DFAE
534,WKME
535,LTL
536,LCAAU
537,UONEK
538,IMAC
539,BCLI
540,AOSL
541,PTBD
542,BOWXU
543,HART
544,WSC
545,AVAN.U
546,HIW
547,PSA$N
548,PSTG
549,NAV
550,VGII.U
551,BSRR
552,BTU
553,MNST
554,SPHB
555,VIOV
556,PHB
557,GAZ
558,VERBW
559,LIZI
560,FIVG
561,SLNO
562,FOCS
563,AMEH
564,CPA
565,VNET
566,EWG
567,UPH
568,FDEM
569,VXX
570,IHIT
571,CHTR
572,TFSL
573,CRBN
574,GTIM
575,CEF
576,GL
577,DSP
578,CMSC
579,CCOR
580,OPRX
581,PGHY
582,APO$A
583,ISPC
584,KODK
585,CEVA
586,MWA
587,CACG
588,NESRW
589,ARNC
590,SUPN
591,EIG
592,IKNA
593,ATA.U
594,DES
595,LINX
596,TOK
597,FLQE
598,TELL
599,LEAP.U
600,SON
601,GLOP$C
602,AGGRU
603,HEGD
604,EDOG
605,BZQ
606,SVOK
607,MNR
608,GSK
609,RZV
610,BMTX.W
611,FCN
612,CSTA.W
613,OLK
614,WBII
615,LFEQ
616,SPT
617,SSNT
618,KIRK
619,SYX
620,CURI
621,NESR
622,TMHC
623,INMD
624,WTS
625,DNB
626,PRSRU
627,EQR
628,NAK
629,PUCK
630,FVAM
631,AFGB
632,RRBI
633,K
634,CSB
635,DTJ
636,CTSH
637,ATH$D
638,SRCE
639,OEG
640,FILL
641,JPIB
642,COF$L
643,XSHQ
644,TSC
645,CKPT
646,ACEVW
647,CLI
648,HTA
649,TCHP
650,HERAU
651,IPA
652,IYY
653,CYTHW
654,GDOT
655,SCHA
656,LAAAU
657,AMST
658,ATAQ.U
659,MACUW
660,QH
661,CECE
662,FRC
663,TRTN$C
664,TPOR
665,BAC$M
666,BUYZ
667,EFL
668,WFC$O
669,BELFA
670,JJS
671,ABR$A
672,COM
673,SLGN
674,LFTRW
675,IBER.U
676,VAW
677,EQWL
678,ASAQ
679,ARKO
680,IUSB
681,LSAQ
682,OVBC
683,PEN
684,PLPC
685,CFBK
686,GDS
687,BBAR
688,DCRBU
689,DLB
690,SABR
691,AVNS
692,UAL
693,CAPL
694,IPHA
695,SP
696,GRN
697,JHX
698,LIVN
699,COLB
700,OGS
701,PLIN
702,SKM
703,FACA.U
704,OFSSI
705,TVACW
706,AXR
707,BFS
708,ATCO$H
709,LCAHW
710,HDAW
711,TNET
712,NDACU
713,WF
714,EQAL
715,GJS
716,SVT
717,POW
718,JCOM
719,NIB
720,PRVA
721,EOT
722,NRGD
723,NYMTM
724,SBCF
725,CHSCP
726,PCY
727,AGTI
728,UTL
729,NSPR
730,ACTDW
731,RXI
732,PTA
733,NBSTW
734,JPS
735,OPI
736,ATCO$I
737,ERSX
738,ATEC
739,HCICU
740,FUNC
741,PTRAW
742,INFY
743,AIF
744,KSTR
745,CTAQU
746,CDTX
747,BTEK
748,RCL
749,INVO
750,SAP
751,WSO
752,TOPS
753,PYR
754,RIDE
755,CWH
756,BLUWW
757,ENOB
758,CWEB
759,KEJI
760,BMO
761,TOTL
762,KULR
763,MPRO
764,RHE
765,TTNP
766,BSCT
767,ROCRW
768,CIR
769,WRB$E
770,AMHCW
771,VECO
772,NVQ
773,SENEB
774,DMAR
775,VRAI
776,OCX
777,WPS
778,SNEX
779,IFS
780,LMRKO
781,SPGP
782,IBMM
783,LQDI
784,HZAC.U
785,MCN
786,SPPI
787,HFXI
788,MID
789,LEAP.W
790,SMOG
791,MIND
792,BWAY
793,KAR
794,HCM
795,OXLC
796,NURE
797,RUTH
798,TWNT.U
799,WALA
800,FLGE
801,JRVR
802,ENS
803,OTLKW
804,DWCR
805,FTEV
806,GRNVW
807,ACC
808,BAC$P
809,BTO
810,NGAC
811,PFSI
812,RIG
813,CRD.B
814,KTB
815,BANF
816,SFBS
817,GRTX
818,SCC
819,SFTW.W
820,SBSW
821,MCB
822,ID
823,CHK
824,NOACW
825,SWBI
826,CLWT
827,SIXA
828,HP
829,CDL
830,FXG
831,XSVM
832,VRM
833,CTO
834,RYB
835,KZR
836,AAC.U
837,GTPA
838,LITE
839,EEV
840,JAGX
841,BRBR
842,BKE
843,ISD
844,PCTI
845,INDF
846,VHI
847,SINV
848,RDHL
849,SEER
850,PICC.U
851,DDLS
852,DWIN
853,PNF
854,ALXN
855,FMNB
856,MOAT
857,BCX
858,SSPY
859,BIOTU
860,ASHR
861,CND
862,SNN
863,PSQ
864,MILE
865,DBS
866,FORH
867,MYFW
868,PKO
869,RTX
870,VBND
871,SGMS
872,SBG.W
873,CRTX
874,LIII.W
875,DEH
876,TECL
877,CAI$B
878,ALAC
879,HYLB
880,WFHY
881,PFXF
882,MSBI
883,HYAC
884,IIN
885,RTP
886,AVEM
887,GSAQ
888,EKSO
889,BSTZ
890,GNK
891,AMTX
892,GRNVU
893,RACB
894,EMP
895,EDUC
896,LINK
897,PRGO
898,SHIPW
899,RZB
900,PSP
901,FBK
902,BCEL
903,BKHY
904,HR
905,CSIQ
906,EBACU
907,GEF
908,BPMP
909,SIM
910,VFQY
911,DESP
912,JPI
913,PAVMZ
914,HHR
915,EWZS
916,HTFB
917,FRI
918,GENC
919,SHIPZ
920,RELIW
921,ANTE
922,ECOZ
923,EGHT
924,BITE.U
925,MMAC
926,TRCA
927,PAB
928,CTEST.V
929,MCBC
930,IUSG
931,AXLA
932,OVID
933,ICLK
934,DTE
935,VEC
936,IPFF
937,TEDU
938,PY
939,COLL
940,CVAC
941,BIGZ
942,ITACU
943,BSCL
944,IGMS
945,CEV
946,SWM
947,AONE
948,OXY.W
949,STNC
950,FGBI
951,UL
952,CBAN
953,ALL$I
954,FR
955,QGEN
956,MPLN.W
957,GSLD
958,DBEU
959,ACQRU
960,ISLE
961,AGM.A
962,PSCM
963,ENO
964,SPTL
965,VCR
966,RWJ
967,SILC
968,SPR
969,BIZD
970,KRMD
971,HOG
972,LADR
973,AMPI.U
974,RFDA
975,KAPR
976,VCKAU
977,KFVG
978,TFLO
979,ZIXI
980,HBAN
981,BRK.A
982,EUDV
983,QEFA
984,TFLT
985,QCOM
986,VABS
987,RELX
988,ZION
989,CDK
990,TRTY
991,AJAX.W
992,DFAT
993,ACR$C
994,DDEC
995,CGRN
996,GBRGU
997,OIS
998,MARA
999,MBTC
1000,JPUS
1001,MXC
1002,XRAY
1003,ANSS
1004,ARQT
1005,LPSN
1006,JJM
1007,ED
1008,SPHQ
1009,PTOC
1010,XPP
1011,NBRV
1012,BRG$C
1013,FMF
1014,SPHY
1015,SFE
1016,MXI
1017,FJNK
1018,FIVA
1019,TROW
1020,SRNGW
1021,PJUL
1022,SLAM
1023,COF$J
1024,TMTSW
1025,KCAC
1026,CRL
1027,GPS
1028,NXU.W
1029,SLYV
1030,BATRK
1031,DSKEW
1032,CLOV
1033,XENT
1034,DOCN
1035,MGRB
1036,FRA
1037,MDNA
1038,EMBH
1039,TLTD
1040,HOLX
1041,BEPC
1042,ADMA
1043,PDD
1044,PIXY
1045,XLNX
1046,ENBA
1047,GRCY
1048,ICPT
1049,EVBN
1050,ITW
1051,AACQ
1052,ECON
1053,CIZ
1054,OIH
1055,VIAC
1056,ADMP
1057,GAB
1058,DSX$B
1059,ZCZZT
1060,USAC
1061,GRSVU
1062,CHKP
1063,RWGV
1064,GPACU
1065,NULV
1066,FLJH
1067,ICCC
1068,FRAK
1069,GSIG
1070,OPHC
1071,ACWI
1072,MMU
1073,RCLFU
1074,MAQC
1075,GBR
1076,TLMD
1077,IBHD
1078,CDMO
1079,DISCA
1080,AAP
1081,SPLP$A
1082,PATI
1083,SSAAW
1084,APSG
1085,HZAC
1086,IDOG
1087,EDIV
1088,SCOBU
1089,GLP$B
1090,RJN
1091,PCVX
1092,CEMI
1093,IMCV
1094,KLDW
1095,KLXE
1096,SEDG
1097,ILPT
1098,ISDX
1099,GRBK
1100,CIA
1101,SSTK
1102,ESPO
1103,DLNG
1104,THO
1105,FGEN
1106,GMF
1107,GOAC.W
1108,QMCO
1109,ENTA
1110,DOC
1111,ATHA
1112,EZA
1113,PBTP
1114,BMRA
1115,FLCH
1116,IMPX.U
1117,TCX
1118,LQDH
1119,SMTS
1120,ALTO
1121,EPRE
1122,MBBB
1123,DAPR
1124,GBL
1125,B
1126,U
1127,ABB
1128,ESML
1129,PHR
1130,DTP
1131,FLGC
1132,OHI
1133,NEXA
1134,CENH
1135,KAHC.W
1136,TGP$B
1137,ISRG
1138,TRTN$B
1139,EPHYW
1140,CCV
1141,BMEA
1142,IBMQ
1143,BBW
1144,IFRX
1145,GILD
1146,AMBO
1147,KRT
1148,PEY
1149,PTPI
1150,SEAS
1151,ACTD
1152,UFS
1153,GSKY
1154,ARKQ
1155,VFIN
1156,EJFA
1157,EUSGU
1158,FFIN
1159,DSTX
1160,XLI
1161,EFA
1162,CUBS
1163,GSY
1164,BTAQW
1165,BHC
1166,NYF
1167,UFI
1168,ANZUU
1169,LMRK
1170,CTG
1171,DTEC
1172,AOM
1173,PSCX
1174,ROK
1175,RVI
1176,DCPH
1177,MNSB
1178,RILYP
1179,HPF
1180,LNT
1181,SPQQ
1182,CLPS
1183,HMC
1184,INT
1185,TPH
1186,INTC
1187,NQP
1188,WSO.B
1189,IYLD
1190,MTBC
1191,FMAR
1192,SJR
1193,BEST
1194,UAMY
1195,TSIBU
1196,LABD
1197,PLL
1198,CHAU
1199,MGYR
1200,EWBC
1201,HIHO
1202,CLIX
1203,PRIF$D
1204,ESGRO
1205,EFG
1206,NANR
1207,SPXB
1208,ANF
1209,CTEC
1210,PPBT
1211,FIX
1212,VNCE
1213,XHS
1214,KHC
1215,FDBC
1216,FORM
1217,DMRL
1218,NXTC
1219,HCAT
1220,FAX
1221,HUBG
1222,VAL
1223,HBT
1224,MACAU
1225,XPER
1226,SCU
1227,DUNEW
1228,JNPR
1229,EBR.B
1230,MFGP
1231,WHLRD
1232,DEF
1233,DTB
1234,FEM
1235,HT$D
1236,SBFG
1237,SPIB
1238,PXD
1239,UBFO
1240,LOKM
1241,BBSA
1242,HCCC
1243,SVFD
1244,BSKYU
1245,FGFPP
1246,TRIB
1247,GIGGU
1248,CANO.W
1249,NERV
1250,VGR
1251,CFFI
1252,EVOJW
1253,NPTN
1254,RKT
1255,INGR
1256,FST.U
1257,USML
1258,HZON
1259,MRGR
1260,BOLT
1261,JYNT
1262,CAI
1263,KNTE
1264,ACHC
1265,MSVB
1266,WLDR
1267,BTX
1268,VCNX
1269,VO
1270,PEGA
1271,PICB
1272,ADILW
1273,NGVT
1274,GHVI
1275,GIGB
1276,RBCN
1277,AMRK
1278,UVXY
1279,MGM
1280,SPXX
1281,LX
1282,BFRA
1283,ITHX
1284,NYMTN
1285,AGRO
1286,CSL
1287,KR
1288,SGC
1289,ACGLN
1290,PNTM.U
1291,FLDM
1292,NAACW
1293,AMPI
1294,CBSH
1295,PACE
1296,PPX
1297,LGVN
1298,JHMS
1299,IDXX
1300,GLIN
1301,NRP
1302,NGAB
1303,GES
1304,DMRS
1305,GS
1306,ALXO
1307,EJFAU
1308,FTIVW
1309,QADA
1310,PAEWW
1311,VRAY
1312,WABC
1313,GCOR
1314,TLH
1315,URTY
1316,AGGY
1317,NH
1318,FCX
1319,JQC
1320,SSO
1321,GCMGW
1322,DLHC
1323,VTIQU
1324,ARES$A
1325,ANIX
1326,WASH
1327,JSML
1328,GDO
1329,OCFCP
1330,TLS
1331,BOE
1332,ROT
1333,DAKT
1334,EARN
1335,ESGE
1336,IQDY
1337,CCAC
1338,OPNT
1339,KVSC
1340,MARB
1341,WIRE
1342,ASND
1343,EWI
1344,IMTXW
1345,MDLQ
1346,RFFC
1347,OWL
1348,KMB
1349,GGPIU
1350,SCHV
1351,SCJ
1352,CSD
1353,YCBD$A
1354,CHDN
1355,OEC
1356,NUMG
1357,INOV
1358,XPND
1359,MOTI
1360,HDSN
1361,CRTO
1362,IWD
1363,HT
1364,RDUS
1365,NACP
1366,DFAU
1367,ORTX
1368,FOXA
1369,FUMB
1370,BEN
1371,CEFD
1372,ESGC
1373,ORIC
1374,IDHD
1375,KZIA
1376,PCYO
1377,BSMT
1378,DGRS
1379,LNSR
1380,ARVLW
1381,CARR
1382,PSFM
1383,ZVO
1384,UNFI
1385,MIY
1386,HNRG
1387,RNA
1388,HUBS
1389,XHE
1390,ASPN
1391,ETN
1392,TRS
1393,NWPX
1394,SPCX
1395,CPE
1396,DISAU
1397,GGPI
1398,UVE
1399,ZG
1400,NCZ
1401,SLDB
1402,DCI
1403,DFFN
1404,SLS
1405,TMUS
1406,BUR
1407,ASLN
1408,NLY$F
1409,POWW
1410,JMIN
1411,Z
1412,MBSD
1413,FRXB
1414,ASPCW
1415,VSLU
1416,BNE
1417,MTCR
1418,IAI
1419,PAY
1420,PHGE.W
1421,SEE
1422,SVBI
1423,GHY
1424,CSA
1425,CGA
1426,PB
1427,OPCH
1428,HGV
1429,LCTU
1430,NET
1431,PBR
1432,PFD
1433,GWRE
1434,NMCO
1435,BSJO
1436,VTRN
1437,EGRX
1438,REIT
1439,EMXC
1440,AIV
1441,DMDV
1442,CRHC.W
1443,DVA
1444,GGM
1445,PNW
1446,NICK
1447,GASS
1448,NMRK
1449,SRTS
1450,KNOP
1451,CINR
1452,DCBO
1453,BELFB
1454,ISAA
1455,KRTX
1456,PUK
1457,ENTXW
1458,PCYG
1459,AGYS
1460,WAB
1461,ZI
1462,SBG
1463,VLON
1464,OCN
1465,EPC
1466,DCRB
1467,EXPE
1468,ICCH
1469,EQOP
1470,GDV$H
1471,DLR$L
1472,USIO
1473,APRZ
1474,MDY
1475,DVYE
1476,FINV
1477,NYT
1478,ALC
1479,ALBO
1480,UMAR
1481,EMN
1482,FBNC
1483,MVIS
1484,IPG
1485,SIEN
1486,IBD
1487,CMA
1488,MDH.W
1489,LMACW
1490,COF$K
1491,HAP
1492,PSA$M
1493,AMAL
1494,SIFY
1495,EGBN
1496,EPIX
1497,CPT
1498,KERNW
1499,MA
1500,DHI
1501,NNOX
1502,MQY
1503,LCYAW
1504,CCZ
1505,CCF
1506,MFV
1507,CYD
1508,DURA
1509,MSVX
1510,OTTR
1511,DTY
1512,RFIL
1513,HTUS
1514,GECCM
1515,BOSS
1516,PEB
1517,PTOCW
1518,SSBI
1519,ATIP
1520,EMSH
1521,FLKR
1522,PT
1523,MCBS
1524,LEDS
1525,FJAN
1526,MSCI
1527,SCM
1528,THMA
1529,EUSA
1530,FLC
1531,JPM$C
1532,WNEB
1533,OBSV
1534,DX
1535,SBII.U
1536,NOCT
1537,SCHN
1538,NATH
1539,SPXS
1540,CPSI
1541,RNR
1542,EWN
1543,ILF
1544,HLAL
1545,ACND.W
1546,PTY
1547,EUSGW
1548,CSSEN
1549,ACQRW
1550,BLOK
1551,CUBI$E
1552,CVR
1553,MJJ
1554,GMRE$A
1555,CEW
1556,ABG
1557,CREG
1558,JAMF
1559,VNQI
1560,CHCT
1561,DEUS
1562,SPRT
1563,REZI
1564,TECK
1565,RAFE
1566,JIGB
1567,LMNR
1568,HAACW
1569,FTSI
1570,JPM$K
1571,DAPP
1572,GLBLU
1573,AFRM
1574,DCP$B
1575,FLOT
1576,RESE
1577,HTGC
1578,KREF$A
1579,VIRS
1580,GNPX
1581,BL
1582,BYTSW
1583,SYK
1584,CHPMW
1585,DNZ.W
1586,GFOR.U
1587,USB$P
1588,IUSS
1589,MESO
1590,ENZL
1591,CPSS
1592,ATHN
1593,HVT.A
1594,RF
1595,DLX
1596,GD
1597,VIIAU
1598,CUT
1599,SYF$A
1600,TSP
1601,LDP
1602,CPF
1603,ZGYHR
1604,DMF
1605,FSLY
1606,USMF
1607,USAP
1608,BSMP
1609,BVS
1610,CYBE
1611,IMKTA
1612,KSMTW
1613,ANAC.W
1614,FIIIU
1615,FLHY
1616,CAL
1617,XAR
1618,IUSV
1619,CLF
1620,AQMS
1621,MDRX
1622,INDB
1623,MCF
1624,RCLF
1625,AGO$F
1626,FNKO
1627,PCT
1628,NXST
1629,SVRA
1630,EES
1631,STRE.U
1632,RAACW
1633,SMIHU
1634,QMN
1635,ZUMZ
1636,JSMD
1637,OSS
1638,KEMQ
1639,VOSOU
1640,EQHA.U
1641,PRPB.W
1642,NCR
1643,SIXH
1644,CERN
1645,RGI
1646,DFEB
1647,IIGD
1648,KWEB
1649,JAZZ
1650,TRVN
1651,CFACW
1652,SPSB
1653,FLSW
1654,EH
1655,KWAC.W
1656,TILT
1657,PRSRW
1658,GGMC
1659,VHAQ.R
1660,FSRX
1661,DSM
1662,BB
1663,BGB
1664,CDEV
1665,CORE
1666,FTCV
1667,HBANN
1668,BEP$A
1669,UNTY
1670,ASG
1671,MKSI
1672,SOXL
1673,HLNE
1674,TRIP
1675,HLIT
1676,TCBI
1677,PWV
1678,OPK
1679,CLAS.W
1680,TRTX$C
1681,CBMB
1682,MGTX
1683,REC
1684,DOCT
1685,RLI
1686,FJUL
1687,NGCAW
1688,SMWB
1689,VEU
1690,TWI
1691,GDEN
1692,JOYY
1693,UPST
1694,FLJP
1695,ADME
1696,VCYT
1697,MILN
1698,HIFS
1699,NZF
1700,RC$D
1701,DSE
1702,MACUU
1703,LBPSW
1704,MBIO
1705,BBIN
1706,DWX
1707,EPWR.W
1708,GAMR
1709,SGAMU
1710,ENNVU
1711,FRPT
1712,BLSA
1713,ARRY
1714,NOTV
1715,EOG
1716,MPAA
1717,ICUI
1718,WATT
1719,YTPG
1720,MIT.W
1721,AIRC
1722,IAG
1723,AURC
1724,DFAC
1725,FFBC
1726,SWTX
1727,HERD
1728,UE
1729,PSJ
1730,OCUP
1731,IUS
1732,HOV
1733,EWO
1734,ENVIW
1735,KIII
1736,NEP
1737,FDWM
1738,SQEW
1739,CMAXW
1740,SAND
1741,BGLD
1742,SXI
1743,FIDU
1744,CREXW
1745,CRUS
1746,ISLEW
1747,NNBR
1748,EDC
1749,QDIV
1750,LOOP
1751,ACLS
1752,FTOCU
1753,MPB
1754,BLD
1755,KTEC
1756,BOAS.W
1757,AMS
1758,COOLW
1759,ABMD
1760,BCYPW
1761,VACQU
1762,MET$E
1763,SPVU
1764,MRSN
1765,ECF
1766,EVRG
1767,CPNG
1768,ONTO
1769,NTEC
1770,NSSC
1771,VICI
1772,ESRT
1773,ZUO
1774,NMR
1775,PLXP
1776,BBQ
1777,SPXT
1778,IGACU
1779,FCBC
1780,MRUS
1781,JTA
1782,ALE
1783,GNE$A
1784,KVSA
1785,ASRVP
1786,SPE
1787,TBX
1788,PFEB
1789,NTRSO
1790,SGRY
1791,DCF
1792,SGG
1793,VRPX
1794,NXN
1795,PROS
1796,QMJ
1797,CMI
1798,SCWX
1799,HFRO$A
1800,APXTW
1801,ATXI
1802,FEI
1803,HAAC
1804,IACA
1805,SPHD
1806,SNPE
1807,INDO
1808,FWDB
1809,PSK
1810,SIJ
1811,CRSP
1812,STWOW
1813,ESHY
1814,ATKR
1815,TEI
1816,JPT
1817,NBXG
1818,MAPSW
1819,DTSS
1820,QLS
1821,AIRTW
1822,FULT
1823,CBTX
1824,CLVT$A
1825,KJAN
1826,NVG
1827,FIVN
1828,GOAC
1829,BLDEW
1830,BMY
1831,HYI
1832,AKIC
1833,IEMG
1834,AIRG
1835,FTXG
1836,DFUS
1837,RC$C
1838,ADRA.U
1839,TGLS
1840,LSPD
1841,PRIF$A
1842,FRHC
1843,NOMD
1844,SWX
1845,SAM
1846,USFR
1847,CLAA
1848,SLCR
1849,PSA$H
1850,OXM
1851,EQC
1852,MTSI
1853,RXL
1854,NEE$O
1855,MPW
1856,KDMN
1857,COP
1858,BMEZ
1859,HUGS.W
1860,LYRA
1861,LEN.B
1862,FDD
1863,BYRN
1864,ATNFW
1865,TATT
1866,FEUZ
1867,DALI
1868,PHX
1869,USB$A
1870,PCPC.W
1871,AACG
1872,STLA
1873,CHW
1874,FIGB
1875,CCRV
1876,PCG$C
1877,GOSS
1878,TNXP
1879,CMPR
1880,OSK
1881,THQ
1882,IRCP
1883,PICC
1884,MITC
1885,KBWD
1886,SEIC
1887,AFAQW
1888,ZYXI
1889,OSTR
1890,WCBR
1891,DMCY
1892,GXF
1893,ACY
1894,JD
1895,RFV
1896,SMP
1897,DMLP
1898,TCVA
1899,NHF
1900,GRF
1901,ROSS.U
1902,TYD
1903,HSC
1904,FLRU
1905,SCD
1906,UTMD
1907,YYY
1908,LIQT
1909,SDACU
1910,PHAS
1911,AMGN
1912,IBML
1913,PXI
1914,ITGR
1915,PBI
1916,LYG
1917,FSTA
1918,LCII
1919,TAEQ
1920,ZEPP
1921,TROX
1922,FRW
1923,VSDA
